Team ,Wins,Points Scored,Points Against
ARI,4,330,455
ATL,7,321,373
BAL,13,483,280
BUF,11,451,311
CAR,2,236,416
CHI,7,360,379
CIN,9,366,384
CLE,11,396,362
DAL,12,509,315
DEN,8,357,413
DET,12,461,395
GB,9,383,350
HOU,10,377,353
IND,9,396,415
JAX,9,377,371
KC,11,371,294
LV,8,332,331
LAC,5,346,398
LAR,10,404,377
MIA,11,496,391
MIN,7,344,362
NE,4,236,366
NO,9,402,327
NYG,6,266,407
NYJ,7,268,355
PHI,11,433,428
PIT,10,304,324
SF,12,491,298
SEA,9,364,402
TB,9,348,325
TEN,6,305,367
WAS,4,329,518
